company_name,status,data_points,output_file
Innova Captab Ltd,success,98,esg_outputs\Innova_Captab_Ltd_esg.json
Alembic Ltd,success,98,esg_outputs\Alembic_Ltd_esg.json
Happiest Minds Technologies Ltd,success,98,esg_outputs\Happiest_Minds_Technologies_Ltd_esg.json
Balkrishna Industries Ltd-,success,98,esg_outputs\Balkrishna_Industries_Ltd-_esg.json
Shanthi Gears Ltd,success,98,esg_outputs\Shanthi_Gears_Ltd_esg.json
Sumitomo Chemical India Ltd,success,98,esg_outputs\Sumitomo_Chemical_India_Ltd_esg.json
Torrent Pharmaceuticals Ltd,success,98,esg_outputs\Torrent_Pharmaceuticals_Ltd_esg.json
Godrej Properties Ltd,success,98,esg_outputs\Godrej_Properties_Ltd_esg.json
Balkrishna Industries Ltd-,success,98,esg_outputs\Balkrishna_Industries_Ltd-_esg.json
Greaves Cotton Ltd,success,98,esg_outputs\Greaves_Cotton_Ltd_esg.json
