company_name,status,data_points,output_file
Innova Captab Ltd,success,75,esg_outputs\Innova_Captab_Ltd_esg.json
Alembic Ltd,success,75,esg_outputs\Alembic_Ltd_esg.json
Happiest Minds Technologies Ltd,success,75,esg_outputs\Happiest_Minds_Technologies_Ltd_esg.json
Balkrishna Industries Ltd-,success,75,esg_outputs\Balkrishna_Industries_Ltd-_esg.json
Shanthi Gears Ltd,success,75,esg_outputs\Shanthi_Gears_Ltd_esg.json
